Medicine,Category,Year-Month,Season,Units Sold,Stock Available,Expiry Date
Paracetamol,Cold,2024-09,Monsoon,1681,1346,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-08,Summer,1814,922,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-07,Summer,1433,922,2026-12-31
Paracetamol,Fever,2024-02,Winter,1417,946,2026-12-31
Ibuprofen,Fever,2024-01,Winter,1701,1477,2026-12-31
Ibuprofen,Fever,2024-07,Summer,1560,1477,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-04,Spring,1609,1632,2026-12-31
Pseudoephedrine,Cold,2024-04,Spring,1331,1024,2026-12-31
Diclofenac,Fever,2024-04,Spring,1936,1660,2026-12-31
Acebrophylline,Cough,2024-07,Summer,1778,1143,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-09,Monsoon,1797,1632,2026-12-31
Terbutaline,Cough,2024-08,Summer,1940,1365,2026-12-31
Celecoxib,Fever,2024-08,Summer,1729,1489,2026-12-31
Nimesulide,Fever,2024-02,Winter,1403,659,2026-12-31
Montelukast,Cold,2024-02,Winter,1415,1352,2026-12-31
Aspirin,Fever,2024-05,Spring,1824,623,2026-12-31
Levocetirizine,Cold,2024-12,Winter,1783,1150,2026-12-31
Nimesulide,Fever,2024-03,Spring,1510,659,2026-12-31
Acebrophylline,Cough,2024-11,Monsoon,1536,1143,2026-12-31
Ambroxol,Cough,2024-08,Summer,1875,1527,2026-12-31
Fexofenadine,Cold,2024-02,Winter,1704,1020,2026-12-31
Terbutaline,Cough,2024-10,Monsoon,1725,1365,2026-12-31
Paracetamol,Cold,2024-09,Monsoon,1600,1346,2026-12-31
Carbocisteine,Cough,2024-08,Summer,1768,698,2026-12-31
Dextromethorphan,Cough,2024-01,Winter,1546,1445,2026-12-31
Nimesulide,Fever,2024-11,Monsoon,1466,659,2026-12-31
Diclofenac,Fever,2024-04,Spring,1934,1660,2026-12-31
Pseudoephedrine,Cold,2024-01,Winter,1852,1024,2026-12-31
Acetaminophen,Fever,2024-11,Monsoon,1451,1460,2026-12-31
Nimesulide,Fever,2024-10,Monsoon,1789,659,2026-12-31
Diclofenac,Fever,2024-12,Winter,1704,1660,2026-12-31
Ibuprofen,Fever,2024-03,Spring,1750,1477,2026-12-31
Cetirizine,Cold,2024-07,Summer,1715,1246,2026-12-31
Levodropropizine,Cough,2024-08,Summer,1986,808,2026-12-31
Diclofenac,Fever,2024-02,Winter,1579,1660,2026-12-31
Pseudoephedrine,Cold,2024-09,Monsoon,1630,1024,2026-12-31
Ambroxol,Cough,2024-05,Spring,2030,1527,2026-12-31
Ambroxol,Cough,2024-06,Summer,1419,1527,2026-12-31
Codeine (Prescription Only),Cough,2024-01,Winter,1815,1806,2026-12-31
Carbocisteine,Cough,2024-10,Monsoon,1622,698,2026-12-31
Levocetirizine,Cold,2024-07,Summer,1494,1150,2026-12-31
Naproxen,Fever,2024-10,Monsoon,1360,1446,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-03,Spring,1788,922,2026-12-31
Ketorolac,Fever,2024-04,Spring,1911,1024,2026-12-31
Nimesulide,Fever,2024-11,Monsoon,1390,659,2026-12-31
Pseudoephedrine,Cold,2024-02,Winter,1557,1024,2026-12-31
Ketorolac,Fever,2024-04,Spring,1790,1024,2026-12-31
Paracetamol,Cold,2024-02,Winter,1507,1346,2026-12-31
Ketorolac,Fever,2024-07,Summer,1494,1024,2026-12-31
Fexofenadine,Cold,2024-06,Summer,1792,1020,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-10,Monsoon,1735,1632,2026-12-31
Guaifenesin,Cough,2024-04,Spring,1635,716,2026-12-31
Levodropropizine,Cough,2024-04,Spring,1436,808,2026-12-31
Bromhexine,Cough,2024-11,Monsoon,1608,872,2026-12-31
Acetaminophen,Fever,2024-03,Spring,1631,1460,2026-12-31
Mefenamic Acid,Fever,2024-06,Summer,1698,1021,2026-12-31
Nimesulide,Fever,2024-08,Summer,1601,659,2026-12-31
Cetirizine,Cold,2024-08,Summer,1448,1246,2026-12-31
Naproxen,Fever,2024-11,Monsoon,1641,1446,2026-12-31
Fexofenadine,Cold,2024-07,Summer,1688,1020,2026-12-31
Levocetirizine,Cold,2024-05,Spring,1582,1150,2026-12-31
Levodropropizine,Cough,2024-10,Monsoon,1760,808,2026-12-31
Terbutaline,Cough,2024-05,Spring,1785,1365,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-02,Winter,1329,922,2026-12-31
Dextromethorphan,Cough,2024-11,Monsoon,1613,1445,2026-12-31
Bromhexine,Cough,2024-10,Monsoon,1798,872,2026-12-31
Cetirizine,Cold,2024-06,Summer,1781,1246,2026-12-31
Levocetirizine,Cold,2024-04,Spring,1749,1150,2026-12-31
Codeine (Prescription Only),Cough,2024-03,Spring,1550,1806,2026-12-31
Levocetirizine,Cold,2024-11,Monsoon,1713,1150,2026-12-31
Cetirizine,Cold,2024-01,Winter,1501,1246,2026-12-31
Nimesulide,Fever,2024-07,Summer,1710,659,2026-12-31
Cetirizine,Cold,2024-05,Spring,1919,1246,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-01,Winter,1638,922,2026-12-31
Bromhexine,Cough,2024-04,Spring,1438,872,2026-12-31
Ketorolac,Fever,2024-01,Winter,1421,1024,2026-12-31
Chlorpheniramine Maleate,Cold,2024-04,Spring,1569,1264,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-02,Winter,1377,922,2026-12-31
Guaifenesin,Cough,2024-07,Summer,1372,716,2026-12-31
Pseudoephedrine,Cold,2024-09,Monsoon,1886,1024,2026-12-31
Diclofenac,Fever,2024-10,Monsoon,1750,1660,2026-12-31
Pseudoephedrine,Cold,2024-12,Winter,1619,1024,2026-12-31
Carbocisteine,Cough,2024-11,Monsoon,1618,698,2026-12-31
Acebrophylline,Cough,2024-07,Summer,1891,1143,2026-12-31
Chlorpheniramine Maleate,Cold,2024-06,Summer,2033,1264,2026-12-31
Ibuprofen,Fever,2024-03,Spring,1611,1477,2026-12-31
Diclofenac,Fever,2024-09,Monsoon,1504,1660,2026-12-31
Celecoxib,Fever,2024-11,Monsoon,1715,1489,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-07,Summer,1424,922,2026-12-31
Celecoxib,Fever,2024-02,Winter,1791,1489,2026-12-31
Codeine (Prescription Only),Cough,2024-10,Monsoon,1586,1806,2026-12-31
Codeine (Prescription Only),Cough,2024-09,Monsoon,1719,1806,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-12,Winter,1659,1632,2026-12-31
Paracetamol,Fever,2024-02,Winter,1392,946,2026-12-31
Cetirizine,Cold,2024-11,Monsoon,1773,1246,2026-12-31
Ibuprofen,Fever,2024-09,Monsoon,1570,1477,2026-12-31
Chlorpheniramine Maleate,Cold,2024-04,Spring,1510,1264,2026-12-31
Chlorpheniramine Maleate,Cold,2024-01,Winter,1816,1264,2026-12-31
Ibuprofen,Fever,2024-01,Winter,1576,1477,2026-12-31
Diphenhydramine,Cold,2024-02,Winter,1657,913,2026-12-31
Pseudoephedrine,Cold,2024-09,Monsoon,1807,1024,2026-12-31
Chlorpheniramine Maleate,Cold,2024-02,Winter,1657,1264,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-03,Spring,1852,922,2026-12-31
Paracetamol,Fever,2024-04,Spring,1456,946,2026-12-31
Fexofenadine,Cold,2024-07,Summer,1949,1020,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-01,Winter,1640,922,2026-12-31
Paracetamol,Fever,2024-03,Spring,1904,946,2026-12-31
Codeine (Prescription Only),Cough,2024-10,Monsoon,1534,1806,2026-12-31
Acetaminophen,Fever,2024-10,Monsoon,1967,1460,2026-12-31
Chlorpheniramine Maleate,Cold,2024-03,Spring,1591,1264,2026-12-31
Levodropropizine,Cough,2024-05,Spring,1425,808,2026-12-31
Diphenhydramine,Cold,2024-03,Spring,1776,913,2026-12-31
Carbocisteine,Cough,2024-06,Summer,1544,698,2026-12-31
Diclofenac,Fever,2024-01,Winter,1742,1660,2026-12-31
Chlorpheniramine Maleate,Cold,2024-07,Summer,1717,1264,2026-12-31
Diclofenac,Fever,2024-10,Monsoon,1789,1660,2026-12-31
Ibuprofen,Fever,2024-03,Spring,1923,1477,2026-12-31
Acetaminophen,Fever,2024-01,Winter,1555,1460,2026-12-31
Bromhexine,Cough,2024-01,Winter,1440,872,2026-12-31
Diclofenac,Fever,2024-11,Monsoon,1822,1660,2026-12-31
Nimesulide,Fever,2024-09,Monsoon,2061,659,2026-12-31
Carbocisteine,Cough,2024-02,Winter,1678,698,2026-12-31
Ambroxol,Cough,2024-05,Spring,2031,1527,2026-12-31
Pseudoephedrine,Cold,2024-08,Summer,2018,1024,2026-12-31
Diclofenac,Fever,2024-03,Spring,1662,1660,2026-12-31
Ambroxol,Cough,2024-09,Monsoon,1556,1527,2026-12-31
Acebrophylline,Cough,2024-11,Monsoon,1617,1143,2026-12-31
Paracetamol,Fever,2024-04,Spring,1497,946,2026-12-31
Diclofenac,Fever,2024-07,Summer,1730,1660,2026-12-31
Levocetirizine,Cold,2024-06,Summer,1640,1150,2026-12-31
Acebrophylline,Cough,2024-10,Monsoon,1525,1143,2026-12-31
Levocetirizine,Cold,2024-04,Spring,1565,1150,2026-12-31
Carbocisteine,Cough,2024-12,Winter,1663,698,2026-12-31
Guaifenesin,Cough,2024-08,Summer,1804,716,2026-12-31
Naproxen,Fever,2024-11,Monsoon,1779,1446,2026-12-31
Ambroxol,Cough,2024-07,Summer,1601,1527,2026-12-31
Paracetamol,Cold,2024-08,Summer,1697,1346,2026-12-31
Pseudoephedrine,Cold,2024-11,Monsoon,1724,1024,2026-12-31
Chlorpheniramine Maleate,Cold,2024-05,Spring,1417,1264,2026-12-31
Acetaminophen,Fever,2024-09,Monsoon,1632,1460,2026-12-31
Ketorolac,Fever,2024-03,Spring,1962,1024,2026-12-31
Diclofenac,Fever,2024-09,Monsoon,1605,1660,2026-12-31
Fexofenadine,Cold,2024-09,Monsoon,1871,1020,2026-12-31
Carbocisteine,Cough,2024-07,Summer,1691,698,2026-12-31
Chlorpheniramine Maleate,Cold,2024-09,Monsoon,1504,1264,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-09,Monsoon,1681,1632,2026-12-31
Fexofenadine,Cold,2024-11,Monsoon,1668,1020,2026-12-31
Montelukast,Cold,2024-11,Monsoon,1613,1352,2026-12-31
Dextromethorphan,Cough,2024-10,Monsoon,1865,1445,2026-12-31
Phenylephrine,Cold,2024-07,Summer,1394,1704,2026-12-31
Diphenhydramine,Cold,2024-05,Spring,1465,913,2026-12-31
Levodropropizine,Cough,2024-05,Spring,1278,808,2026-12-31
Cetirizine,Cold,2024-07,Summer,1445,1246,2026-12-31
Ambroxol,Cough,2024-02,Winter,1752,1527,2026-12-31
Chlorpheniramine Maleate,Cold,2024-08,Summer,1640,1264,2026-12-31
Codeine (Prescription Only),Cough,2024-12,Winter,1910,1806,2026-12-31
Diclofenac,Fever,2024-09,Monsoon,1517,1660,2026-12-31
Fexofenadine,Cold,2024-06,Summer,1601,1020,2026-12-31
Ibuprofen,Fever,2024-05,Spring,1912,1477,2026-12-31
Phenylephrine,Cold,2024-08,Summer,1876,1704,2026-12-31
Pseudoephedrine,Cold,2024-07,Summer,1678,1024,2026-12-31
Pseudoephedrine,Cold,2024-11,Monsoon,1749,1024,2026-12-31
Acebrophylline,Cough,2024-09,Monsoon,1962,1143,2026-12-31
Chlorpheniramine Maleate,Cold,2024-12,Winter,1704,1264,2026-12-31
Acebrophylline,Cough,2024-08,Summer,1633,1143,2026-12-31
Diphenhydramine,Cold,2024-12,Winter,1915,913,2026-12-31
Mefenamic Acid,Fever,2024-05,Spring,1761,1021,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-10,Monsoon,1812,1632,2026-12-31
Dextromethorphan,Cough,2024-10,Monsoon,1569,1445,2026-12-31
Levocetirizine,Cold,2024-08,Summer,1733,1150,2026-12-31
Diclofenac,Fever,2024-06,Summer,1688,1660,2026-12-31
Ketorolac,Fever,2024-10,Monsoon,1509,1024,2026-12-31
Codeine (Prescription Only),Cough,2024-02,Winter,1954,1806,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-04,Spring,1744,922,2026-12-31
Cetirizine,Cold,2024-10,Monsoon,1621,1246,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-05,Spring,1851,922,2026-12-31
Guaifenesin,Cough,2024-01,Winter,1748,716,2026-12-31
Levocetirizine,Cold,2024-06,Summer,1645,1150,2026-12-31
Pseudoephedrine,Cold,2024-10,Monsoon,1556,1024,2026-12-31
Guaifenesin,Cough,2024-03,Spring,1530,716,2026-12-31
Paracetamol,Fever,2024-10,Monsoon,1909,946,2026-12-31
Ibuprofen,Fever,2024-11,Monsoon,1711,1477,2026-12-31
Pseudoephedrine,Cold,2024-02,Winter,1535,1024,2026-12-31
Carbocisteine,Cough,2024-08,Summer,2033,698,2026-12-31
Fexofenadine,Cold,2024-10,Monsoon,1654,1020,2026-12-31
Ketorolac,Fever,2024-06,Summer,1969,1024,2026-12-31
Phenylephrine,Cold,2024-03,Spring,1700,1704,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-09,Monsoon,1800,1632,2026-12-31
Naproxen,Fever,2024-06,Summer,1622,1446,2026-12-31
Cetirizine,Cold,2024-05,Spring,1794,1246,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-03,Spring,1852,922,2026-12-31
Paracetamol,Fever,2024-12,Winter,1647,946,2026-12-31
Acebrophylline,Cough,2024-02,Winter,1465,1143,2026-12-31
Chlorpheniramine Maleate,Cold,2024-04,Spring,1784,1264,2026-12-31
Mefenamic Acid,Fever,2024-08,Summer,1540,1021,2026-12-31
Bromhexine,Cough,2024-03,Spring,1817,872,2026-12-31
Diphenhydramine,Cold,2024-02,Winter,1524,913,2026-12-31
Diclofenac,Fever,2024-06,Summer,1503,1660,2026-12-31
Ibuprofen,Fever,2024-05,Spring,1632,1477,2026-12-31
Acetaminophen,Fever,2024-07,Summer,1837,1460,2026-12-31
Aspirin,Fever,2024-02,Winter,1381,623,2026-12-31
Mefenamic Acid,Fever,2024-01,Winter,1702,1021,2026-12-31
Fexofenadine,Cold,2024-08,Summer,1718,1020,2026-12-31
Ibuprofen,Fever,2024-01,Winter,1599,1477,2026-12-31
Paracetamol,Fever,2024-12,Winter,1651,946,2026-12-31
Mefenamic Acid,Fever,2024-09,Monsoon,1727,1021,2026-12-31
Acetaminophen,Fever,2024-05,Spring,1347,1460,2026-12-31
Guaifenesin,Cough,2024-10,Monsoon,1525,716,2026-12-31
Diphenhydramine,Cold,2024-04,Spring,1839,913,2026-12-31
Mefenamic Acid,Fever,2024-08,Summer,1612,1021,2026-12-31
Naproxen,Fever,2024-08,Summer,1646,1446,2026-12-31
Phenylephrine,Cold,2024-05,Spring,1599,1704,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-11,Monsoon,1647,922,2026-12-31
Codeine (Prescription Only),Cough,2024-02,Winter,1867,1806,2026-12-31
Paracetamol,Cold,2024-09,Monsoon,1675,1346,2026-12-31
Mefenamic Acid,Fever,2024-02,Winter,1392,1021,2026-12-31
Paracetamol,Fever,2024-03,Spring,1977,946,2026-12-31
Acetaminophen,Fever,2024-03,Spring,1573,1460,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-12,Winter,1818,922,2026-12-31
Carbocisteine,Cough,2024-04,Spring,1565,698,2026-12-31
Fexofenadine,Cold,2024-11,Monsoon,1747,1020,2026-12-31
Diphenhydramine,Cold,2024-10,Monsoon,1814,913,2026-12-31
Paracetamol,Fever,2024-06,Summer,1254,946,2026-12-31
Chlorpheniramine Maleate,Cold,2024-12,Winter,1833,1264,2026-12-31
Dextromethorphan,Cough,2024-09,Monsoon,1797,1445,2026-12-31
Ibuprofen,Fever,2024-07,Summer,1443,1477,2026-12-31
Mefenamic Acid,Fever,2024-06,Summer,1601,1021,2026-12-31
Guaifenesin,Cough,2024-10,Monsoon,1503,716,2026-12-31
Ibuprofen,Fever,2024-06,Summer,2038,1477,2026-12-31
Phenylephrine,Cold,2024-11,Monsoon,1702,1704,2026-12-31
Ambroxol,Cough,2024-02,Winter,1758,1527,2026-12-31
Ketorolac,Fever,2024-03,Spring,1765,1024,2026-12-31
Ibuprofen,Fever,2024-04,Spring,1667,1477,2026-12-31
Bromhexine,Cough,2024-11,Monsoon,1666,872,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-06,Summer,1560,1632,2026-12-31
Diclofenac,Fever,2024-06,Summer,1408,1660,2026-12-31
Aspirin,Fever,2024-05,Spring,1963,623,2026-12-31
Montelukast,Cold,2024-09,Monsoon,1539,1352,2026-12-31
Nimesulide,Fever,2024-10,Monsoon,1609,659,2026-12-31
Levocetirizine,Cold,2024-01,Winter,1484,1150,2026-12-31
Codeine (Prescription Only),Cough,2024-07,Summer,1564,1806,2026-12-31
Fexofenadine,Cold,2024-05,Spring,1463,1020,2026-12-31
Aspirin,Fever,2024-09,Monsoon,1534,623,2026-12-31
Naproxen,Fever,2024-09,Monsoon,1310,1446,2026-12-31
Celecoxib,Fever,2024-05,Spring,1782,1489,2026-12-31
Codeine (Prescription Only),Cough,2024-04,Spring,1596,1806,2026-12-31
Cetirizine,Cold,2024-06,Summer,1843,1246,2026-12-31
Naproxen,Fever,2024-04,Spring,1708,1446,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-11,Monsoon,1667,1632,2026-12-31
Terbutaline,Cough,2024-12,Winter,1633,1365,2026-12-31
Acebrophylline,Cough,2024-01,Winter,1747,1143,2026-12-31
Cetirizine,Cold,2024-08,Summer,1447,1246,2026-12-31
Naproxen,Fever,2024-02,Winter,1732,1446,2026-12-31
Chlorpheniramine Maleate,Cold,2024-12,Winter,1814,1264,2026-12-31
Naproxen,Fever,2024-05,Spring,1817,1446,2026-12-31
Dextromethorphan,Cough,2024-08,Summer,1694,1445,2026-12-31
Levodropropizine,Cough,2024-08,Summer,1946,808,2026-12-31
Bromhexine,Cough,2024-03,Spring,1577,872,2026-12-31
Cetirizine,Cold,2024-03,Spring,1613,1246,2026-12-31
Paracetamol,Cold,2024-06,Summer,1631,1346,2026-12-31
Carbocisteine,Cough,2024-12,Winter,1667,698,2026-12-31
Levodropropizine,Cough,2024-08,Summer,1857,808,2026-12-31
Acebrophylline,Cough,2024-11,Monsoon,1462,1143,2026-12-31
Phenylephrine,Cold,2024-04,Spring,1863,1704,2026-12-31
Aspirin,Fever,2024-02,Winter,1358,623,2026-12-31
Aspirin,Fever,2024-09,Monsoon,1632,623,2026-12-31
Codeine (Prescription Only),Cough,2024-11,Monsoon,1796,1806,2026-12-31
Carbocisteine,Cough,2024-04,Spring,1829,698,2026-12-31
Codeine (Prescription Only),Cough,2024-07,Summer,1684,1806,2026-12-31
Acebrophylline,Cough,2024-07,Summer,1623,1143,2026-12-31
Celecoxib,Fever,2024-01,Winter,1987,1489,2026-12-31
Naproxen,Fever,2024-03,Spring,1732,1446,2026-12-31
Levocetirizine,Cold,2024-05,Spring,1527,1150,2026-12-31
Acebrophylline,Cough,2024-07,Summer,1838,1143,2026-12-31
Guaifenesin,Cough,2024-05,Spring,1839,716,2026-12-31
Paracetamol,Fever,2024-11,Monsoon,1518,946,2026-12-31
Mefenamic Acid,Fever,2024-09,Monsoon,1677,1021,2026-12-31
Acebrophylline,Cough,2024-07,Summer,1904,1143,2026-12-31
Aspirin,Fever,2024-02,Winter,1587,623,2026-12-31
Cetirizine,Cold,2024-02,Winter,1806,1246,2026-12-31
Levodropropizine,Cough,2024-12,Winter,1851,808,2026-12-31
Diclofenac,Fever,2024-02,Winter,1450,1660,2026-12-31
Diclofenac,Fever,2024-12,Winter,1643,1660,2026-12-31
Montelukast,Cold,2024-02,Winter,1309,1352,2026-12-31
Mefenamic Acid,Fever,2024-03,Spring,1888,1021,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-07,Summer,1433,922,2026-12-31
Pseudoephedrine,Cold,2024-09,Monsoon,1858,1024,2026-12-31
Celecoxib,Fever,2024-11,Monsoon,1728,1489,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-10,Monsoon,1710,922,2026-12-31
Acetaminophen,Fever,2024-03,Spring,1670,1460,2026-12-31
Codeine (Prescription Only),Cough,2024-04,Spring,1733,1806,2026-12-31
Pseudoephedrine,Cold,2024-04,Spring,1352,1024,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-10,Monsoon,1809,922,2026-12-31
Dextromethorphan,Cough,2024-09,Monsoon,1836,1445,2026-12-31
Diclofenac,Fever,2024-08,Summer,1910,1660,2026-12-31
Pseudoephedrine,Cold,2024-05,Spring,1423,1024,2026-12-31
Carbocisteine,Cough,2024-06,Summer,1706,698,2026-12-31
Naproxen,Fever,2024-09,Monsoon,1398,1446,2026-12-31
Diclofenac,Fever,2024-10,Monsoon,1645,1660,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-06,Summer,1461,1632,2026-12-31
Diclofenac,Fever,2024-03,Spring,1636,1660,2026-12-31
Nimesulide,Fever,2024-11,Monsoon,1383,659,2026-12-31
Levodropropizine,Cough,2024-05,Spring,1319,808,2026-12-31
Levodropropizine,Cough,2024-07,Summer,1745,808,2026-12-31
Paracetamol,Cold,2024-05,Spring,1483,1346,2026-12-31
Ibuprofen,Fever,2024-12,Winter,1862,1477,2026-12-31
Aspirin,Fever,2024-07,Summer,1831,623,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-10,Monsoon,1752,922,2026-12-31
Pseudoephedrine,Cold,2024-05,Spring,1362,1024,2026-12-31
Paracetamol,Cold,2024-10,Monsoon,1832,1346,2026-12-31
Paracetamol,Cold,2024-09,Monsoon,1694,1346,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-09,Monsoon,1979,922,2026-12-31
Carbocisteine,Cough,2024-11,Monsoon,1697,698,2026-12-31
Dextromethorphan,Cough,2024-03,Spring,1471,1445,2026-12-31
Mefenamic Acid,Fever,2024-10,Monsoon,1899,1021,2026-12-31
Nimesulide,Fever,2024-04,Spring,2036,659,2026-12-31
Nimesulide,Fever,2024-01,Winter,1862,659,2026-12-31
Guaifenesin,Cough,2024-04,Spring,1636,716,2026-12-31
Phenylephrine,Cold,2024-06,Summer,1736,1704,2026-12-31
Paracetamol,Fever,2024-06,Summer,1345,946,2026-12-31
Mefenamic Acid,Fever,2024-04,Spring,1609,1021,2026-12-31
Mefenamic Acid,Fever,2024-08,Summer,1637,1021,2026-12-31
Carbocisteine,Cough,2024-08,Summer,1913,698,2026-12-31
Carbocisteine,Cough,2024-08,Summer,1846,698,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-04,Spring,1840,1632,2026-12-31
Mefenamic Acid,Fever,2024-01,Winter,1639,1021,2026-12-31
Paracetamol,Cold,2024-04,Spring,1476,1346,2026-12-31
Pseudoephedrine,Cold,2024-05,Spring,1448,1024,2026-12-31
Celecoxib,Fever,2024-01,Winter,1960,1489,2026-12-31
Ketorolac,Fever,2024-04,Spring,1933,1024,2026-12-31
Phenylephrine,Cold,2024-12,Winter,1492,1704,2026-12-31
Codeine (Prescription Only),Cough,2024-06,Summer,1602,1806,2026-12-31
Codeine (Prescription Only),Cough,2024-12,Winter,1592,1806,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-10,Monsoon,1899,1632,2026-12-31
Mefenamic Acid,Fever,2024-07,Summer,1720,1021,2026-12-31
Carbocisteine,Cough,2024-04,Spring,1814,698,2026-12-31
Ambroxol,Cough,2024-03,Spring,1720,1527,2026-12-31
Codeine (Prescription Only),Cough,2024-08,Summer,1581,1806,2026-12-31
Carbocisteine,Cough,2024-04,Spring,1654,698,2026-12-31
Celecoxib,Fever,2024-03,Spring,1481,1489,2026-12-31
Guaifenesin,Cough,2024-06,Summer,1610,716,2026-12-31
Aspirin,Fever,2024-02,Winter,1357,623,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-05,Spring,1629,1632,2026-12-31
Paracetamol,Cold,2024-10,Monsoon,1806,1346,2026-12-31
Diclofenac,Fever,2024-10,Monsoon,1572,1660,2026-12-31
Guaifenesin,Cough,2024-02,Winter,1318,716,2026-12-31
Paracetamol,Cold,2024-04,Spring,1499,1346,2026-12-31
Acebrophylline,Cough,2024-06,Summer,1657,1143,2026-12-31
Ketorolac,Fever,2024-08,Summer,1699,1024,2026-12-31
Guaifenesin,Cough,2024-04,Spring,1543,716,2026-12-31
Acetaminophen,Fever,2024-04,Spring,2069,1460,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-03,Spring,2016,922,2026-12-31
Fexofenadine,Cold,2024-03,Spring,2039,1020,2026-12-31
Levodropropizine,Cough,2024-01,Winter,1778,808,2026-12-31
Celecoxib,Fever,2024-11,Monsoon,1921,1489,2026-12-31
Diclofenac,Fever,2024-04,Spring,1897,1660,2026-12-31
Acebrophylline,Cough,2024-08,Summer,1745,1143,2026-12-31
Levodropropizine,Cough,2024-08,Summer,1729,808,2026-12-31
Fexofenadine,Cold,2024-01,Winter,1314,1020,2026-12-31
Aspirin,Fever,2024-09,Monsoon,1682,623,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-03,Spring,1923,922,2026-12-31
Paracetamol,Fever,2024-11,Monsoon,1496,946,2026-12-31
Diphenhydramine,Cold,2024-11,Monsoon,1710,913,2026-12-31
Acetaminophen,Fever,2024-07,Summer,1831,1460,2026-12-31
Pseudoephedrine,Cold,2024-10,Monsoon,1740,1024,2026-12-31
Paracetamol,Fever,2024-07,Summer,1540,946,2026-12-31
Terbutaline,Cough,2024-04,Spring,1832,1365,2026-12-31
Diclofenac,Fever,2024-05,Spring,1834,1660,2026-12-31
Nimesulide,Fever,2024-04,Spring,1872,659,2026-12-31
Mefenamic Acid,Fever,2024-09,Monsoon,1795,1021,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-04,Spring,1782,1632,2026-12-31
Mefenamic Acid,Fever,2024-03,Spring,1695,1021,2026-12-31
Carbocisteine,Cough,2024-06,Summer,1552,698,2026-12-31
Pseudoephedrine,Cold,2024-05,Spring,1556,1024,2026-12-31
Mefenamic Acid,Fever,2024-11,Monsoon,1730,1021,2026-12-31
Levodropropizine,Cough,2024-09,Monsoon,2102,808,2026-12-31
Dextromethorphan,Cough,2024-04,Spring,1720,1445,2026-12-31
Paracetamol,Fever,2024-08,Summer,1468,946,2026-12-31
Acetaminophen,Fever,2024-06,Summer,1584,1460,2026-12-31
Carbocisteine,Cough,2024-02,Winter,1663,698,2026-12-31
Ibuprofen,Fever,2024-07,Summer,1331,1477,2026-12-31
Montelukast,Cold,2024-04,Spring,1802,1352,2026-12-31
Acebrophylline,Cough,2024-10,Monsoon,1616,1143,2026-12-31
Pseudoephedrine,Cold,2024-03,Spring,2030,1024,2026-12-31
Ambroxol,Cough,2024-09,Monsoon,1860,1527,2026-12-31
Ibuprofen,Fever,2024-11,Monsoon,1881,1477,2026-12-31
Montelukast,Cold,2024-12,Winter,1728,1352,2026-12-31
Diphenhydramine,Cold,2024-08,Summer,1707,913,2026-12-31
Acebrophylline,Cough,2024-12,Winter,1682,1143,2026-12-31
Acetaminophen,Fever,2024-11,Monsoon,1359,1460,2026-12-31
Dextromethorphan,Cough,2024-07,Summer,1823,1445,2026-12-31
Acebrophylline,Cough,2024-09,Monsoon,1713,1143,2026-12-31
Ibuprofen + Pseudoephedrine,Cold,2024-09,Monsoon,1816,1632,2026-12-31
Ketorolac,Fever,2024-11,Monsoon,1498,1024,2026-12-31
